original average,supression average,total_sum,total_element,m,M,average_laplace,average_gaussian,difference_laplace_supression,difference_gaussian_supression
42.82262322623226,42.71951509389113,1078326,25242,0.1,0.8,42.707766377810906,42.61081238317625,0.11485684842135413,0.21181084305600706
42.82262322623226,42.96609243906072,865466,20143,0.1,0.9,42.96502997545151,42.95392936868195,0.14240674921924779,0.13130614244968797
42.82262322623226,42.85957119832078,2286901,53358,0.2,0.2,42.862173247971015,42.84298869876856,0.03955002173875499,0.020365472536298057
42.82262322623226,42.84374032407885,2075565,48445,0.2,0.3,42.8520109022982,42.853074227920935,0.029387676065937285,0.030451001688675206
42.82262322623226,42.76426374337982,1849084,43239,0.2,0.4,42.78925481771079,42.73701036798124,0.033368408521468496,0.08561285825101805
42.82262322623226,42.88491442287623,1643693,38328,0.2,0.5,42.88958469700921,42.89689661049425,0.06696147077695258,0.0742733842619927
42.82262322623226,42.767129449158894,1426241,33349,0.2,0.6,42.75475145588054,42.70457437765735,0.0678717703517222,0.11804884857490805
42.82262322623226,42.71824667985307,1209439,28312,0.2,0.7,42.71334648644974,42.74336859538322,0.10927673978252272,0.07925463084904294
42.82262322623226,42.77785898538263,995013,23260,0.2,0.8,42.76461819892205,42.829000992181825,0.058005027310208845,0.006377765949565628
42.82262322623226,42.74679989197948,791457,18515,0.2,0.9,42.769840557046855,42.68848008039668,0.05278266918540453,0.13414314583557996
42.82262322623226,42.73377625375053,1993958,46660,0.3,0.3,42.736563223663865,42.73129420234463,0.08606000256839508,0.09132902388763142
42.82262322623226,42.83128775529773,1786750,41716,0.3,0.4,42.8286475825679,42.8287358308247,0.006024356335643688,0.006112604592438231
42.82262322623226,42.87626283255725,1574545,36723,0.3,0.5,42.884512838313,42.89593068101991,0.06188961208074062,0.07330745478765266
42.82262322623226,42.77137744851833,1362525,31856,0.3,0.6,42.76069387776033,42.77415080672674,0.06192934847192788,0.04847241950552217
42.82262322623226,42.88164403942719,1152873,26885,0.3,0.7,42.88134440259833,42.82343122482902,0.05872117636607044,0.0008079985967626158
42.82262322623226,42.67437673130194,924327,21660,0.3,0.8,42.661943038731685,42.633904810434224,0.16068018750057433,0.18871841579803572
42.82262322623226,42.76581104529408,714745,16713,0.3,0.9,42.767495066020295,42.863172818013524,0.05512816021196443,0.04054959178126438
42.82262322623226,42.86204990325904,1705781,39797,0.4,0.4,42.859971417404175,42.80233604425805,0.037348191171915346,0.02028718197421142
42.82262322623226,42.78544509792725,1498603,35026,0.4,0.5,42.760215979253026,42.7287371441661,0.06240724697923383,0.09388608206616311
42.82262322623226,42.93583981754762,1280175,29816,0.4,0.6,42.91902664396386,42.9292683173739,0.09640341773160088,0.10664509114163678
42.82262322623226,42.77795604042997,1066540,24932,0.4,0.7,42.772749914839,42.74753795652047,0.04987331139326301,0.07508526971179208
42.82262322623226,42.88796185935637,863592,20136,0.4,0.8,42.89325636785771,42.81870484404773,0.07063314162544998,0.003918382184529889
42.82262322623226,42.8411879064155,639062,14917,0.4,0.9,42.85800659847455,42.86261303634377,0.035383372242293376,0.03998981011150704
42.82262322623226,42.83368689011455,1413426,32998,0.5,0.5,42.85425334786846,42.82710757262567,0.03163012163619783,0.0044843463934114425
42.82262322623226,42.807109105014455,1213924,28358,0.5,0.6,42.81449790999071,42.82518676097947,0.008125316241546443,0.002563534747210383
42.82262322623226,42.90461049284578,998519,23273,0.5,0.7,42.85369084164817,42.799626267979086,0.031067615415906857,0.022996958253173716
42.82262322623226,42.72753575717873,782683,18318,0.5,0.8,42.740513375142804,42.64354271648278,0.08210985108945579,0.17908050974948253
