average,total_sum,total_element,m,M,average_laplacian,average_gaussian
42.7704602812162,1067679,24963,0.1,0.8,42.704050579637716,43.66285448085359
42.82377656945131,866325,20230,0.1,0.9,42.786756429541214,42.28751567044287
42.87080561990883,2294617,53524,0.2,0.2,42.84502691495683,43.074007907271636
42.82570174712263,2068824,48308,0.2,0.3,43.21200960648222,43.024886903440354
42.81235819789786,1849237,43194,0.2,0.4,42.78355110619026,43.19202620361588
42.81899604249115,1644592,38408,0.2,0.5,43.267057295017416,41.37343024543884
42.79598482358916,1432510,33473,0.2,0.6,42.856705847900436,44.50237281998433
42.81550206764924,1211379,28293,0.2,0.7,43.88014514943884,41.32275380419613
42.87985971515333,1002574,23381,0.2,0.8,43.01663689323626,40.25255037559992
42.86973347141222,786531,18347,0.2,0.9,42.87634762455409,43.383932909576394
42.8884165324745,1997528,46575,0.3,0.3,43.13564532137839,43.465198614940014
42.81589677171775,1785166,41694,0.3,0.4,43.3405863113234,42.57085176470085
42.78363794132003,1577775,36878,0.3,0.5,43.01178415175258,43.518861452908276
42.876218911793664,1349872,31483,0.3,0.6,42.88877859305175,42.94411336405142
42.66446730783568,1144517,26826,0.3,0.7,43.363309187576014,41.68308781173928
42.930056102271685,933557,21746,0.3,0.8,43.1831092666151,44.58364224611263
42.80517916290274,710780,16605,0.3,0.9,42.92736188589821,44.51858985376554
42.9033876725666,1718581,40057,0.4,0.4,42.66949588415405,43.47751338347839
42.75622103998627,1494843,34962,0.4,0.5,42.77175246337538,41.219425017802195
42.79238088922781,1290661,30161,0.4,0.6,43.65579976492371,44.547516411735444
43.04700769506798,1079662,25081,0.4,0.7,43.246462504171475,45.14885886109375
42.79297169574179,851195,19891,0.4,0.8,42.11061844129495,40.03746535933483
42.95192628697336,643291,14977,0.4,0.9,43.05972444736514,38.73395670910011
42.91243107168545,1431902,33368,0.5,0.5,42.84743719157565,41.9605374500204
42.71252073846589,1210003,28329,0.5,0.6,42.32956450924253,44.72974324609511
42.62164837529589,990314,23235,0.5,0.7,42.396158699123845,40.07316523713864
42.984428408659326,792246,18431,0.5,0.8,43.022323743709705,42.83795893839749
42.59466271312083,574602,13490,0.5,0.9,42.20481201831137,45.127527492255716
42.95811320754717,1138390,26500,0.6,0.6,42.85379693825997,42.2238345905843
42.868691998707234,928493,21659,0.6,0.7,43.35031098038624,43.647840218682994
43.11105108349841,718187,16659,0.6,0.8,42.646123172114315,46.70275015698218
43.0724588205172,504680,11717,0.6,0.9,43.25470949551392,48.979359792119084
42.65192019950125,855171,20050,0.7,0.7,42.71181586241887,35.95598341460997
42.72194597500336,635788,14882,0.7,0.8,40.75877245479462,40.93857958286145
